2021-11-17 18:26:25,242 [main] INFO  [com.alibaba.nacos.client.naming] NamingProxy.java:196 - [REGISTER-SERVICE] public registering service DEFAULT_GROUP@@fx-uaa-server with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"172.16.0.118","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":9997,"weight":1.0}
2021-11-17 18:26:25,251 [main] INFO  [c.a.cloud.nacos.registry.NacosServiceRegistry] NacosServiceRegistry.java:71 - nacos registry, DEFAULT_GROUP fx-uaa-server 172.16.0.118:9997 register finished
2021-11-17 18:26:25,717 [main] INFO  [com.fx.cloud.uaa.server.FxUaaServerApplication] StartupInfoLogger.java:61 - Started FxUaaServerApplication in 8.453 seconds (JVM running for 9.641)
2021-11-17 18:26:25,726 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:197 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [subscribe] rabbitmq.properties+DEFAULT_GROUP
2021-11-17 18:26:25,726 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:92 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [add-listener] ok, tenant=, dataId=rabbitmq.properties, group=DEFAULT_GROUP, cnt=1
2021-11-17 18:26:25,727 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:197 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [subscribe] fx-uaa-server.properties+DEFAULT_GROUP
2021-11-17 18:26:25,727 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:92 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [add-listener] ok, tenant=, dataId=fx-uaa-server.properties, group=DEFAULT_GROUP, cnt=1
2021-11-17 18:26:25,728 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:197 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [subscribe] dms_base_db.properties+DEFAULT_GROUP
2021-11-17 18:26:25,728 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:92 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [add-listener] ok, tenant=, dataId=dms_base_db.properties, group=DEFAULT_GROUP, cnt=1
2021-11-17 18:26:25,728 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:197 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [subscribe] fx-uaa-server+DEFAULT_GROUP
2021-11-17 18:26:25,728 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:92 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [add-listener] ok, tenant=, dataId=fx-uaa-server, group=DEFAULT_GROUP, cnt=1
2021-11-17 18:26:25,729 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:197 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [subscribe] redis.properties+DEFAULT_GROUP
2021-11-17 18:26:25,729 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:92 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [add-listener] ok, tenant=, dataId=redis.properties, group=DEFAULT_GROUP, cnt=1
2021-11-17 18:26:25,729 [main] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:197 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [subscribe] common.properties+DEFAULT_GROUP
2021-11-17 18:26:25,729 [main] INFO  [com.alibaba.nacos.client.config.impl.CacheData] CacheData.java:92 - [fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] [add-listener] ok, tenant=, dataId=common.properties, group=DEFAULT_GROUP, cnt=1
2021-11-17 18:26:25,740 [com.alibaba.nacos.client.Worker.longPolling.fixed-172.16.0.87_8848-172.16.0.88_8848-172.16.0.89_8848] INFO  [com.alibaba.nacos.client.config.impl.ClientWorker] ClientWorker.java:522 - get changedGroupKeys:[]
2021-11-17 18:26:26,198 [com.alibaba.nacos.client.naming.updater] INFO  [com.alibaba.nacos.client.naming] HostReactor.java:164 - new ips(1) service: DEFAULT_GROUP@@fx-uaa-server@@DEFAULT -> [{"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"instanceId":"172.16.0.118#9997#DEFAULT#DEFAULT_GROUP@@fx-uaa-server","ip":"172.16.0.118","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":9997,"serviceName":"fx-uaa-server","weight":1.0}]
2021-11-17 18:26:26,206 [com.alibaba.nacos.client.naming.updater] INFO  [com.alibaba.nacos.client.naming] HostReactor.java:200 - current ips:(1) service: DEFAULT_GROUP@@fx-uaa-server@@DEFAULT -> [{"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"instanceId":"172.16.0.118#9997#DEFAULT#DEFAULT_GROUP@@fx-uaa-server","ip":"172.16.0.118","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":9997,"serviceName":"fx-uaa-server","weight":1.0}]
